beatmap_id,diff_sr,diff_size,diff_approach,main_skillset
2543300,6.33,4,10.3,Low Density Reading
3513428,7.54,4,9.8,Alt
3513428,8.01,5.2,10,Alt
3205642,7.11,4,9.3,Awkward Aim
3310526,7.15,4.2,9.7,Streams
3205635,6.58,4,9.6,Alt
3301301,6.82,4.1,9.7,Tech
3166325,7.01,4,9.6,Awkward Aim
40017,6.22,4,8,High Density Reading
3641172,6.66,5.2,10,Tech
1466329,7.31,6.5,10,Precision
2633777,7.31,4,9.7,Speed
3418232,6.66,3.8,10.3,Low Density Reading
2808923,6.95,4,9.4,Jump Aim
1693573,6.94,4,9.6,Flow Aim
3311309,6.52,3.8,9.6,Alt
1567435,6.61,4,9.6,Tech
3181311,6.94,4,9.7,Speed
3265614,6.6,3.5,9.7,Flow Aim
2709014,6,4,8,High Density Reading
2296799,6.85,4,9.5,Tech
3311891,6.86,4.9,10,Flow Aim
2934166,6.81,6.5,10,Precision
2623955,6.75,4.6,10,Alt
3804289,7.01,4,9.3,Jump Aim
3241887,7.18,4,9.7,Speed
3529165,6.74,4.6,10.3,Low Density Reading
2487840,5.94,5,8,Awkward Aim
3287767,6.97,4,9.5,Kitchen Sink
334506,6.66,4,9,Awkward Aim
2953828,7.02,4.3,9.6,Flow Aim
2709056,6.67,3.7,9.6,Alt
2916573,6.66,4.3,9.6,Tech
2643109,6.98,4.2,9.5,General Mechanics
3356258,7.3,4.2,9.7,Kitchen Sink
3492256,5.88,4,7,High Density Reading
3711420,6.69,3.8,9.6,Flow Aim
1447689,6.91,5.2,10,Low Density Reading
3581807,6.94,6.5,10,Precision
3804328,6.84,5.2,10,Tech
2505928,7.05,4,10.2,Awkward Aim
3766173,7.47,4,10,Speed
2868551,6.81,4.2,10.3,Low Density Reading
3298591,6.38,5,8,Awkward Aim
1847043,7.47,4,9.6,Kitchen Sink
1524103,7.37,4.3,9.7,Jump Aim
2874944,7.8,4,9.8,Streams
2651784,6.78,4,9.7,Alt
1469136,7.34,4,9.6,Tech
3333700,7.8,4.2,9.8,Strain Stamina
3612153,6.13,5,8.3,High Density Reading
3822825,6.84,4,9.6,Flow Aim
2745510,6.1,3.8,8,High Density Reading
3371047,7,4,9.4,Tech
3509826,7.14,3.5,9.6,Flow Aim
3154354,7.7,5.2,10,Streams
2892551,7.27,6.5,10,Precision
2226504,7.1,5.2,10,Tech
3420529,6.92,5.2,10,Alt
3512649,6.96,4,9.7,Awkward Aim
2142695,7.18,4,10.3,Speed
3667381,7.02,4,10.3,Tech
3118794,6.84,3.5,10.5,Low Density Reading
2256378,6.55,5.3,8,Awkward Aim
1131424,7.52,4.5,9.6,Kitchen Sink
3057763,7.78,4,9.6,Jump Aim
3481302,7.92,4,9.8,Streams
3082601,7.54,4,9.8,Alt
3665497,7.28,4.2,9.6,Tech
3077141,8.1,3.8,9.8,Speed
3488353,6.43,4.8,7,High Density Reading
3020221,7.53,4,9.6,Tech
3108320,7.63,4,9,Awkward Aim
3550576,6.74,5,8,High Density Reading
2453247,7.43,4,9.8,Alt
3694974,7.16,4.2,9.7,Flow Aim
3194930,7.72,5.6,10,General Mechanics
1826150,7.75,6.9,10,Precision
3129297,7.75,5.2,10,Jump Aim
2442838,7.8,5.7,10,Tech
2833858,8.04,4,10.5,Jump Aim
3710294,8.08,4,10,Strain Stamina
83338,7.95,4,9.7,Speed
2643849,8.12,4,10,Tech
3229091,8.28,4,9.9,Kitchen Sink
3496104,7.58,4,9.8,Jump Aim
3557274,7.46,4.1,9.6,Strain Stamina
3608521,7.29,4,9.4,Alt
3066436,7.04,4.4,9.8,Tech
2881154,7.72,3.8,9.6,Speed
2651787,6.79,4.5,9.3,High Density Reading
3244097,7,4,9.6,Tech
3459467,7.23,4.2,9.3,Awkward Aim
3556182,6.1,5,8,High Density Reading
1495664,7.2,4,9.9,Flow Aim
2507884,7.25,3.9,9.6,Tech
2675756,7.53,4.9,10,Jump Aim
2541434,7.66,6.5,10,Precision
1771721,7.24,5.9,10,Tech
712015,7.54,5.5,10,Tech
1850680,7.84,4,10.3,Jump Aim
3155266,7.66,3.5,10,Strain Stamina
3256526,7.79,4,9.7,Speed
1994939,7.18,5,10,Jump Aim
3333745,7.67,4.2,9.8,Kitchen Sink
1817797,5,4,9,Jump Aim
205645,5.01,4,9,Streams
3013524,4.56,4,9.2,Alt
3067209,4.72,3.8,8.8,Tech
2123472,4.61,4,9,Pattern Processing
1997261,4.59,4,8,Pattern Processing
1777075,4.84,5.2,10,General Mechanics
40283,4.2,6.5,9.8,Precision
898514,4.75,4,9.3,General Mechanics
3036158,4.62,4.1,9.5,Tech
2827390,4.49,3.8,9,General Mechanics
336228,4.41,4,8.8,Flow Aim
2826322,4.2,4.2,8.7,Alt
2616114,4.21,3.8,8.6,Tech
2125408,4.46,3.5,9,General Mechanics
313716,3.85,4,8,Pattern Processing
2454858,4.22,4.7,10,General Mechanics
2259921,3.84,6,10,Precision
2617689,4.35,4,9.7,General Mechanics
2764102,4.22,4,9.5,Tech
2316995,4.55,3,8.8,General Mechanics
2603671,4.39,3.8,9,Tech
585605,4.38,4,8.5,Pattern Processing
2886229,4.78,4,9,Jump Aim
3117703,4.76,3.5,9,Flow Aim
2414548,4.45,4,8,Pattern Processing
2966904,4.8,4,8.8,Tech
1534777,4.92,4,9,Awkward Aim
818369,4.38,4,8,Pattern Processing
2411903,4.82,4.7,10,General Mechanics
2948735,4.07,6.5,10,Precision
2275554,4.72,3.8,9.3,General Mechanics
2815482,4.74,4,9.7,Tech
1615739,4.14,4,8,Pattern Processing
859007,4.28,4,8.6,Jump Aim
2442531,4.97,4,9.2,Flow Aim
1383875,4.91,4,8,Tech
2599601,4.65,4,9,Alt
2808771,5.22,3.8,9,Jump Aim
289824,5.13,4,9,Flow Aim
3114197,4.89,4,9,Alt
1263140,4.72,3.5,9,Tech
445207,4.49,3.7,7.8,Pattern Processing
2635855,5.07,4,9,High Density Reading
157886,4.56,4,8,Pattern Processing
1592403,4.58,5,9,Tech
1982046,4.85,4.9,10,General Mechanics
36459,4.3,6.5,9.8,Precision
167094,4.8,5.2,10,Flow Aim
1918039,5.04,4.5,9.7,General Mechanics
2240973,4.86,3.5,9.4,Tech
3076548,4.79,4,9.7,Speed
168080,4.43,4,8,General Mechanics
3044456,4.79,4,9,Flow Aim
2248125,5.18,4,9,General Mechanics
862124,5.08,3.5,9.3,Kitchen Sink
2692580,4.55,4,8.8,Alt
1475668,5.17,4,9,Jump Aim
2253996,4.83,3.8,8.8,Streams
3124213,5.05,3.8,9,Alt
2916575,5.08,4,9.2,Tech
363858,4.82,4,8,Pattern Processing
339641,5.27,4,9,General Mechanics
169393,4.84,4,8,Pattern Processing
1607327,5.11,4.6,9,Tech
2106385,4.95,5.2,10,Jump Aim
1661048,4.72,6.5,10,Precision
2960116,4.97,4.6,10,Tech
2180386,5.07,4,9.3,General Mechanics
3035515,5.01,3.6,9.3,Tech
2474187,5.12,4,9.7,Speed
2731221,4.82,4,8.8,General Mechanics
875314,5.03,4,9,Jump Aim
2542677,5.23,4,9,Alt
3069278,5.67,4,9.3,Streams
2737915,5.18,4,9.2,Kitchen Sink
3488202,4.82,3.8,9,General Mechanics
1838159,5.15,3.8,9,Streams
3245309,4.61,4,9,Alt
3284636,4.81,4.2,9,Pattern Processing
3263485,4.69,4,9,Jump Aim
127136,4.57,4,8,High Density Reading
3662334,4.7,5.2,10,Jump Aim
1964355,4.65,4,9.7,Jump Aim
3371835,4.88,3.5,9.7,Speed
1614513,4.37,4.1,9,General Mechanics
832543,4.47,4,8.7,Tech
2228781,4.35,3.5,9,Alt
2359641,4.2,3.7,9,Pattern Processing
3275830,4.32,4,8.8,General Mechanics
1516105,4.3,4,8,Low Density Reading
438061,4.28,5.2,10,General Mechanics
26157,4.26,6.5,9.8,Precision
2252964,4.44,5,10,Tech
2557128,4.2,2.8,9.7,Low Density Reading
1536573,4.48,4,8,General Mechanics
134551,4.51,4,8,Tech
2940656,4.73,4,9,General Mechanics
2544690,4.57,4,9,General Mechanics
2142039,4.42,4,8.7,General Mechanics
2849349,4.33,4,8.8,Alt
2529681,4.44,4,9,Pattern Processing
1752416,4.45,4,8,Tech
2216352,4.59,3.8,8.8,General Mechanics
2440262,4.3,4,8,High Density Reading
2193339,4.55,4.6,10,General Mechanics
37712,4.15,6.5,9.8,Precision
2219334,4.51,3.7,9.7,General Mechanics
2484170,4.45,3.5,9.7,Alt
2310736,4.53,4,9.7,Speed
2624379,4.26,3,9,General Mechanics
2351351,3.98,5,8,General Mechanics
3535868,4.79,3.8,9,General Mechanics
1972186,6.77,4,9.5,Jump Aim
2034284,6.48,4,9.6,Streams
2068313,6.04,4,9,Alt
1020839,5.69,4.1,9.5,Awkward Aim
40753,5.83,4,8,High Density Reading
2116103,6.04,5.2,10,General Mechanics
923589,6.27,5.9,10,Precision
115352,6.7,4,9.7,Jump Aim
1610037,6.43,4,10.1,Speed
986233,5.88,5,9,Jump Aim
1911494,6.24,4.2,9.3,Streams
1752817,6.17,4,9.4,Alt
871861,5.82,4,9.3,Tech
2040764,6.15,3.2,9.5,Strain Stamina
1263848,6.21,4,9.4,Awkward Aim
1992475,5.81,4,8.5,High Density Reading
320180,6.04,5.2,10,General Mechanics
2102251,,,,#N/A
96525,6.48,4,9.7,Jump Aim
284207,6.19,4,9.7,Speed
350646,6.2,4,10,Speed
1935933,5.47,4,9,Awkward Aim
50148,5.65,5,8,Pattern Processing
1620583,6.33,3.5,9.3,Tech
1895699,6.52,4,9.4,
161534,6.18,4,9,Jump Aim
1603596,6.44,3.3,9.5,Streams
1296164,6.23,4.2,10,Alt
966034,6.11,4,9.7,Tech
260843,6.63,4,9,Strain Stamina
1886547,6.1,4.2,9.5,Awkward Aim
1601287,6.25,4,9.3,High Density Reading
1115999,5.43,4,8.1,Flow Aim
1941635,5.96,5.2,10,General Mechanics
146235,6.26,6.5,10,Precision
755900,5.97,5.6,10,Alt
264212,6.48,4,9.7,Jump Aim
120461,6.43,5,9.7,Speed
1368355,6.51,4,10.3,Speed
1636952,6.22,3.9,10.3,Low Density Reading
540979,5.67,3.5,9,Awkward Aim
1994939,5.11,5,8.5,Pattern Processing
688397,6.41,3.5,9.6,Tech
893536,5.86,3,9.5,
1955089,6.88,3.9,9.3,
1152893,6.33,4,9.7,Jump Aim
1243791,6.36,7,9,Streams
1241865,6.73,4,9.6,Alt
160486,6.75,4,10,Tech
2207682,6.5,3.5,9.5,Strain Stamina
1163349,6.23,4,9.4,Awkward Aim
1814107,6.62,4.1,9.5,High Density Reading
1493052,5.75,4.4,8.5,Flow Aim
1228840,5.68,5.2,10,General Mechanics
1541243,6.35,5.5,10,Precision
280034,6.52,5.2,10,Alt
138963,6.5,4,9.7,Jump Aim
2225693,6.65,4,9.9,Speed
1939983,6.41,4,10.3,Speed
155438,6.95,4,9.7,Low Density Reading
1081292,6.36,2.7,9.5,Awkward Aim
1650328,5.91,5,8,Pattern Processing
2021589,6.31,3,9.4,Tech
316018,6.09,2,9,
711923,6.74,4,9.3,
2082006,6.69,4,9.6,Jump Aim
1774031,6.93,3.9,9.6,Streams
1562497,6.32,4.3,9.3,Alt
1211828,6.52,4,9.5,Tech
1960286,6.94,4,9.6,Strain Stamina
1002857,7.09,4,10,Pattern Processing
567103,6.31,7,8.5,Pattern Processing
2043968,6.82,4.7,9.7,Awkward Aim
1454407,6.4,4,9.6,High Density Reading
111680,5.94,4,8,Flow Aim
1030098,6.49,4.8,10,General Mechanics
157582,6.54,7.8,9.8,Precision
281526,,,,#N/A
106361,7.09,4,9.7,Jump Aim
58701,6.93,5,9.7,Speed
726289,6.55,4.4,10.2,Speed
2154729,6.6,4,9.7,Low Density Reading
2260511,,,,#N/A
1952051,5.81,5,8,Pattern Processing
707800,6.68,3.5,9,Tech
913238,6.04,4,9.3,
1034421,5.67,6,8,
1626300,7.44,4,9.8,Jump Aim
760779,7.24,4,9.6,Streams
2250833,7.2,4.2,9.6,Alt
2054205,6.64,3,9.6,Tech
2260268,6.73,5,8,Strain Stamina
1730657,7.23,3.5,9.6,Pattern Processing
1573997,7.03,4,9.9,Pattern Processing
1182951,6.68,4,9.7,Awkward Aim
2066685,6.71,4.2,9.4,High Density Reading
2201741,6.28,4,8,Flow Aim
523527,7.01,5.2,10,General Mechanics
1758768,7.53,6.5,10,Precision
350033,7.14,5.2,10,Alt
1895932,7.18,3,10.1,Jump Aim
1227137,6.93,3.8,10.1,Speed
105978,6.45,4,9.7,Speed
91475,,,,#N/A
2133935,6.52,4,9.3,Awkward Aim
225037,6.06,5,8,Pattern Processing
281640,6.39,4,9,Tech
655682,6.67,4,9.6,
2291964,7.21,4,9.6,
613823,6.05,4.3,9.1,Jump Aim
1751716,5.65,4.3,9.2,Streams
1707233,5.54,4,9.3,Alt
1787963,5.72,4,9,Awkward Aim
115352,4.77,4,8,High Density Reading
376703,5.79,5.2,10,General Mechanics
28805,5.56,6.5,10,Precision
732932,5.63,4,9.9,Jump Aim
1743595,5.54,4,9.3,Speed
2199786,5.91,4.2,9.2,Jump Aim
72469,5.93,4,9,Streams
